Part Number;Bearing designation;"Brand
name";Cross-Refference;Bore diameter;Outside diameter;Width inner ring;Width outer ring;Contact angle;Mass;Dynamic load rating;Static load rating;Fatigue load limit;;;;;;;;;
;;;;d (mm);D (mm);B (mm);C (mm);? (°);kg;Cdyn (kN);Co (kN);Pu (kN);;;;;;;;;
AA59196 VX;"5204 KRY2-R-A268 (PER.5204RRY2)
5204 PY3
A59196
P59196";"PEER
RBF
CT-AGRI
KABAT";"60021679 HORSCH
60054734 HORSCH
AA104813 JD
AA59196 JD
GA26920 
";16.027;45.225;26;22.82;20;0.19;16.3;10.9;0.458;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
