Part Number;Bearing designation;"Brand
name";Cross-Refference;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
W247647B VX;W247647B;CT-AGRI;"H204LF
HEX204PFL
W247647B MF";;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
