Part Number;Bearing designation;"Brand
name";Cross-Refference;Bore diameter;Outer diameter inner ring;Outside diameter;Width inner ring;D-shape hole cut out dimension;Contact angle;Mass;Dynamic load rating;Static load rating;Fatigue load limit;;;;;;;;
;;;;d (mm);d1 (mm);D (mm);B (mm);C (mm);? (°);kg;Cdyn (kN);Co (kN);Pu (kN);;;;;;;;
AA205DD VX;"188-001V (AA 205 DD)
205 GP
205 PP13 
PER.BB205RPP13
AA 205 DD
AA 205 DD
AA 205 DD (376905 EKL19)
AA 205 DD (SL5316-2T)";"Great Plains
Great Plains
RBF
PEER
RBK
CT-AGRI
HARP
FKL";"100-001V
188-001V
205DDS5/8
205GP
205VVH1
40-172 KRAUSE
822-236C GP
BB 205 RPP13 PEER";16;33.74;53.086;19.4;18.288;25;0.21;14.02;7.82;0.328;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
