Part Number;Bearing designation;"Brand
name";Cross-Refference;Dynamic load rating;Static load rating;Outside diameter;Bore diameter;D-shape hole cut out dimension;Mass;Width inner ring;Contact angle;;;;;;;;;;
;;;;Cdyn (kN);Co (kN);D (mm);d (mm);C (mm);kg;B (mm);? (°);;;;;;;;;;
5206KPP3 VX;"5206 KPP3
5206 KPP3
5206 KPP3
5206 KPP3
5206 KPP3
5206 KPP3 (PER.5206RPP3)";"PFI
TIMKEN
RBF
CT-AGRI
FKL
PEER";"822-215C  GREAT PLAINS 
87283953 CASE
AN261766/AN261637 JD
GA8603   KINZE  3000
GA8641 KINZE ";28.7;21.8;62;30.15;37;0.5;50;25;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
