Part Number;Bearing designation;"Brand
name";Cross-Refference;Bore diameter;Outside diameter;Width inner ring;Width outer ring;Contact angle;Mass;Dynamic load rating;Static load rating;Fatigue load limit;;;;;;;;;
;;;;d (mm);D (mm);B (mm);C (mm);? (°);kg;Cdyn (kN);Co (kN);Pu (kN);;;;;;;;;
F-562024.02KLQ VX;"23042700
F-562024.02.KLQ
F-562024.02.KLQ
F-562024.02.KLQ
PN 008
IL20-71/6T-B16";"CT-AGRI
INA
NTE (????????)
CT-AGRI
RBF
FKL";Only bearing for serviceable units;"16.027	";60;22.5;22.9;25;0.31;22;15.2;0.64;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
